player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
366,Alisson Becker,Liverpool,12,1,5.4,3.7996370303319145,1,0,0,FUL (A)
261,Chris Richards,Crystal Palace,8,2,4.6,5.167957611283946,1,0,0,NEW (A)
291,James Tarkowski,Everton,9,2,5.4,4.724511080056895,1,0,0,BRE (H)
569,Cristian Romero,Spurs,18,2,5.0,4.557933942512915,1,0,0,SUN (H)
295,Michael Keane,Everton,9,2,4.6,4.439452131233426,1,0,0,BRE (H)
727,Samuel Chukwueze,Fulham,10,3,5.3,7.23416843904993,1,0,1,LIV (H)
270,Will Hughes,Crystal Palace,8,3,4.7,5.55452944414768,1,0,0,NEW (A)
16,Bukayo Saka,Arsenal,1,3,10.2,5.224136406358865,1,0,0,BOU (A)
26,Martín Zubimendi Ibáñez,Arsenal,1,3,5.3,5.162923584178476,1,0,0,BOU (A)
660,Anton Stach,Leeds,11,3,4.8,5.094165842279486,1,0,0,MUN (H)
283,Jean-Philippe Mateta,Crystal Palace,8,4,8.0,5.858193761982662,1,0,0,NEW (A)
