player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,next_fixture
469,Nick Pope,Newcastle,15,1,5.0,4.979342291476403,0.891704195181624,90.0,High,4.328,5.631,1,0,0,ARS (H)
72,Marcos Senesi Barón,Bournemouth,4,2,5.2,6.195388763030035,0.9619537619398013,98.1,High,6.112,6.278,1,0,0,LEE (A)
258,Tyrick Mitchell,Crystal Palace,8,2,5.0,4.979342464245111,0.8990616344114439,70.5,Medium,4.368,5.59,1,0,0,LIV (H)
256,Daniel Muñoz Mejía,Crystal Palace,8,2,5.9,4.749328223557571,0.8823832400101761,93.7,High,4.484,5.015,1,0,0,LIV (H)
660,Anton Stach,Leeds,11,3,4.8,6.993928640178121,0.8513330321463382,59.9,Medium,5.123,8.864,1,0,0,BOU (H)
82,Antoine Semenyo,Man City,13,3,8.0,6.57836468111594,0.9549686535083848,92.3,High,5.973,7.183,1,0,0,BUR (H)
200,Jaidon Anthony,Burnley,3,3,5.0,5.556004439093914,0.9472960770857457,94.5,High,5.208,5.904,1,0,0,MCI (A)
449,Bruno Borges Fernandes,Man Utd,14,3,10.4,5.417183124529757,0.9643828925515525,97.4,High,5.287,5.548,1,0,0,BRE (A)
582,Mohammed Kudus,Spurs,18,3,6.4,5.40856068125675,0.9193872460848483,71.4,Medium,4.802,6.015,1,0,0,WOL (H)
430,Erling Haaland,Man City,13,4,14.7,7.523395279292351,0.956134139355616,89.0,High,6.452,8.595,1,0,1,BUR (H)
283,Jean-Philippe Mateta,Crystal Palace,8,4,7.6,5.252235858641924,0.8927590238339642,96.4,High,5.164,5.34,1,0,0,LIV (H)
