player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,bench_order
5,Gabriel dos Santos Magalhães,Arsenal,1,2,7.2,3.598083529108358,0.9461091678338411,90.9,High,2.917,4.279,0,1,0,1
666,Viktor Gyökeres,Arsenal,1,4,8.9,3.3926905859634786,0.7244630751981531,86.2,High,2.841,3.944,0,1,0,2
527,Taiwo Awoniyi,Nott'm Forest,16,4,5.2,3.2652777762299388,0.49809281894832025,69.0,Medium,0.536,5.994,0,1,0,3
341,Karl Darlow,Leeds,11,1,4.0,3.4996750605626943,0.9725649426290608,67.5,Medium,2.576,4.424,0,1,0,4
