player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,appearance_probability,availability_this_round,availability_next_round,status_availability,fixture_multiplier,cameo_points,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,next_fixture
1,David Raya Martín,Arsenal,1,1,6.0,3.8653734414485017,0.8899790055870889,0.9393039760014255,,,1.0,1.0,0.5,88.0,High,2.994,4.736,1,0,0,SUN (A)
356,Virgil van Dijk,Liverpool,14,2,6.5,5.16087677460675,0.89032740712917,0.949547006734073,,,1.0,1.0,0.8903559127439724,85.7,High,3.898,6.424,1,0,0,FUL (H)
499,Pedro Porro Sauceda,Spurs,19,2,5.5,4.593407796649602,0.8479098638681195,0.8787875519234162,,,1.0,1.0,0.8903559127439724,86.8,High,3.693,5.494,1,0,0,EVE (H)
4,Gabriel dos Santos Magalhães,Arsenal,1,2,8.0,4.238137105473395,0.8070417257564295,0.902275002362017,,,1.0,1.0,0.8903559127439724,86.0,High,3.392,5.084,1,0,0,SUN (A)
503,Micky van de Ven,Spurs,19,2,5.0,3.9250952703077666,0.8833234905038995,0.9270468117038388,,,1.0,1.0,0.8903559127439724,90.3,High,3.352,4.498,1,0,0,EVE (H)
426,Bruno Borges Fernandes,Man Utd,16,3,12.0,7.911102171040302,0.923173392637249,0.9465572546175616,,,1.0,1.0,1.3448975451410021,82.0,High,5.29,10.532,1,0,1,MCI (H)
427,Bryan Mbeumo,Man Utd,16,3,8.0,4.752473962213852,0.7501680269418549,0.9096830607510289,,,1.0,1.0,1.3448975451410021,90.2,High,4.451,5.054,1,0,0,MCI (H)
480,Morgan Gibbs-White,Nott'm Forest,18,3,8.0,4.572991439743307,0.8720093516565701,0.9441099936787778,,,1.0,1.0,1.3448975451410021,86.1,High,3.478,5.668,1,0,0,AVL (A)
124,Pascal Groß,Brighton,5,3,5.5,4.361736099067912,0.9039020897782513,0.9725433023659991,,,1.0,1.0,1.3448975451410021,94.1,High,4.093,4.63,1,0,0,COV (A)
368,Dominik Szoboszlai,Liverpool,14,3,7.0,4.3447331928443305,0.8853387462579217,0.9629168265246117,,,1.0,1.0,1.3448975451410021,95.0,High,4.176,4.514,1,0,0,FUL (H)
55,Ollie Watkins,Aston Villa,2,4,8.0,7.581108810667503,0.8923538481473112,0.9434598965972507,,,1.0,1.0,1.6344725111441307,87.7,High,6.553,8.609,1,0,0,NFO (H)
