player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
565,Guglielmo Vicario,Spurs,18,1,4.7,3.6827653837454624,1,0,0,SUN (A)
44,Lamare Bogarde,Aston Villa,2,2,4.0,4.951603858486699,1,0,0,NFO (A)
409,John Stones,Man City,13,2,5.4,4.478215012324184,1,0,0,CHE (A)
232,Tosin Adarabioyo,Chelsea,7,2,4.0,4.300107833069175,1,0,0,MCI (H)
6,William Saliba,Arsenal,1,2,6.1,4.272014334841091,1,0,0,BOU (H)
350,Brenden Aaronson,Leeds,11,3,5.4,5.8301457843958016,1,0,1,MUN (A)
417,Rayan Cherki,Man City,13,3,6.4,5.527464771918983,1,0,0,CHE (A)
329,Harry Wilson,Fulham,10,3,5.9,5.450297697868476,1,0,0,LIV (A)
755,Shea Lacey,Man Utd,14,3,4.5,4.535262721929392,1,0,0,LEE (H)
415,Sávio Moreira de Oliveira,Man City,13,3,6.9,4.182266037254224,1,0,0,CHE (A)
365,Lukas Nmecha,Leeds,11,4,5.0,3.64739243833256,1,0,0,MUN (A)
