player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,bench_order,next_fixture
6,William Saliba,Arsenal,1,2,6.3,5.095806872926664,0.8548243278516177,94.6,High,4.945,5.247,0,1,0,1,SUN (H)
624,Jarrod Bowen,West Ham,19,4,7.8,4.255565024336018,0.9645391028296925,67.4,Medium,3.278,5.233,0,1,0,2,BUR (A)
749,Mateus Mané,Wolves,20,4,4.2,4.016513246166566,0.9072704063464151,66.7,Medium,3.141,4.892,0,1,0,3,CHE (H)
670,Robin Roefs,Sunderland,17,1,4.8,3.703913035451089,0.9725873214244919,99.0,High,3.64,3.768,0,1,0,4,ARS (A)
