player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,next_fixture
366,Alisson Becker,Liverpool,12,1,5.4,4.539740957181393,0.9085854090600367,92.9,High,4.154,4.926,1,0,0,BOU (A)
441,Patrick Dorgu,Man Utd,14,2,4.1,6.020731904106299,0.8274930204712683,76.7,High,2.164,9.877,1,0,0,ARS (A)
6,William Saliba,Arsenal,1,2,6.3,5.061345443837817,0.8455450456567656,95.0,High,4.95,5.173,1,0,0,MUN (H)
506,Murillo Costa dos Santos,Nott'm Forest,16,2,5.2,4.743491177964707,0.8679973584022187,67.1,Medium,3.935,5.552,1,0,0,BRE (A)
226,Trevoh Chalobah,Chelsea,7,2,5.4,4.446121731284084,0.9397045516454883,94.5,High,4.137,4.755,1,0,0,CRY (A)
382,Florian Wirtz,Liverpool,12,3,8.3,6.183336625258093,0.8556465383267609,95.5,High,6.077,6.29,1,0,1,BOU (A)
350,Brenden Aaronson,Leeds,11,3,5.4,5.430390140360679,0.881468355144197,90.5,High,4.853,6.008,1,0,0,EVE (A)
26,Martín Zubimendi Ibáñez,Arsenal,1,3,4.9,5.1783345590070695,0.9175351629544666,97.5,High,5.114,5.242,1,0,0,MUN (H)
235,Cole Palmer,Chelsea,7,3,10.3,5.0002543500028995,0.8387955504834443,83.8,High,3.644,6.356,1,0,0,CRY (A)
390,Ryan Gravenberch,Liverpool,12,3,5.4,4.650160951771674,0.9428525475349312,94.8,High,4.352,4.948,1,0,0,BOU (A)
791,Valentín Castellanos,West Ham,19,4,5.5,4.5451876826022115,0.9295384805856651,64.6,Medium,3.318,5.772,1,0,0,SUN (H)
