player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,next_fixture
366,Alisson Becker,Liverpool,12,1,5.4,3.985277783160963,0.9203719179397631,94.8,High,3.747,4.224,1,0,0,ARS (A)
684,Malick Thiaw,Newcastle,15,2,4.9,7.02575165614482,0.9401089058456171,65.6,Medium,5.674,8.377,1,0,1,LEE (H)
106,Nathan Collins,Brentford,5,2,4.9,5.097857540478827,0.952182130971011,69.9,Medium,4.334,5.861,1,0,0,SUN (H)
694,Nordi Mukiele,Sunderland,17,2,4.6,4.90867450444499,0.9610330165177348,88.6,High,3.82,5.998,1,0,0,BRE (A)
382,Florian Wirtz,Liverpool,12,3,8.3,6.213199097431893,0.9227203714980601,90.8,High,5.527,6.899,1,0,0,ARS (A)
450,Matheus Santos Carneiro da Cunha,Man Utd,14,3,8.1,6.110722134616729,0.9368663930853843,91.5,High,5.47,6.751,1,0,0,BUR (A)
488,Bruno Guimarães Rodriguez Moura,Newcastle,15,3,6.9,5.835703059421645,0.8901551824651888,85.0,High,4.411,7.26,1,0,0,LEE (H)
417,Rayan Cherki,Man City,13,3,6.5,5.691666626792899,0.8460613920879887,86.5,High,4.714,6.67,1,0,0,BHA (H)
21,Declan Rice,Arsenal,1,3,7.2,5.02086030481612,0.7320791528648097,89.9,High,4.725,5.317,1,0,0,LIV (H)
136,Igor Thiago Nascimento Rodrigues,Brentford,5,4,7.2,6.273691333192267,0.8759498329435867,84.5,High,4.805,7.743,1,0,0,SUN (H)
64,Ollie Watkins,Aston Villa,2,4,8.7,5.516483483719496,0.8384697485973046,87.4,High,4.697,6.336,1,0,0,CRY (A)
