player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,next_fixture
469,Nick Pope,Newcastle,15,1,5.0,4.373554229223949,0.9242335470283604,93.3,High,3.991,4.757,1,0,0,WHU (A)
5,Gabriel dos Santos Magalhães,Arsenal,1,2,7.3,7.341974811196497,0.9552490200981099,95.3,High,7.034,7.65,1,0,1,BUR (A)
8,Jurriën Timber,Arsenal,1,2,6.0,6.984759699779534,0.9003620184423262,72.3,Medium,5.949,8.021,1,0,0,BUR (A)
575,Micky van de Ven,Spurs,18,2,4.4,5.312494267603805,0.8851414535350228,94.7,High,5.114,5.511,1,0,0,CHE (H)
225,Reece James,Chelsea,7,2,5.6,4.640169291185978,0.7942136792433292,84.1,High,3.56,5.72,1,0,0,TOT (A)
119,Bryan Mbeumo,Man Utd,14,3,8.3,6.154519094847011,0.8830840298338403,96.4,High,6.074,6.235,1,0,0,NFO (A)
82,Antoine Semenyo,Man City,13,3,8.0,5.687440555516368,0.9619947240251211,95.8,High,5.427,5.947,1,0,0,BOU (H)
20,Leandro Trossard,Arsenal,1,3,6.6,5.443122276680594,0.8705890942534436,88.5,High,4.664,6.223,1,0,0,BUR (A)
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs,18,3,5.5,5.24079514504608,0.8771937173947709,92.7,High,4.893,5.589,1,0,0,CHE (H)
582,Mohammed Kudus,Spurs,18,3,6.4,4.859256103440872,0.9221344862943064,67.4,Medium,3.94,5.779,1,0,0,CHE (H)
714,Nick Woltemade,Newcastle,15,4,6.7,5.888137381144938,0.877387059975162,89.8,High,5.227,6.549,1,0,0,WHU (A)
