player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
314,Bernd Leno,Fulham,10,1,4.9,4.80489610477673,1,0,0,SUN (A)
110,Michael Kayode,Brentford,5,2,4.5,5.600576456269145,1,0,0,BHA (H)
106,Nathan Collins,Brentford,5,2,5.0,5.362402345242429,1,0,0,BHA (H)
573,Djed Spence,Spurs,18,2,4.3,4.326262800646223,1,0,0,ARS (H)
5,Gabriel dos Santos Magalhães,Arsenal,1,2,6.7,4.302817053806912,1,0,0,TOT (A)
388,Curtis Jones,Liverpool,12,3,5.4,5.918341691363819,1,0,0,NFO (A)
335,Josh King,Fulham,10,3,4.4,5.658801180315914,1,0,0,SUN (A)
200,Jaidon Anthony,Burnley,3,3,5.1,5.475793325756802,1,0,0,CHE (A)
86,David Brooks,Bournemouth,4,3,5.0,4.965225695680179,1,0,0,WHU (A)
210,Loum Tchaouna,Burnley,3,3,4.9,4.963481436315577,1,0,0,CHE (A)
217,Lyle Foster,Burnley,3,4,4.9,9.198624401216685,1,0,1,CHE (A)
