player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,bench_order,next_fixture
608,Ollie Scarles,West Ham,19,2,4.3,4.724700967660786,0,1,0,1,MCI (H)
178,Danny Welbeck,Brighton,6,4,6.2,4.021387709058709,0,1,0,2,SUN (A)
365,Lukas Nmecha,Leeds,11,4,5.0,3.8393554566789145,0,1,0,3,CRY (A)
812,Melker Ellborg,Sunderland,17,1,4.0,10.123782426976046,0,1,0,4,BHA (H)
