player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,bench_order,next_fixture
475,Sven Botman,Newcastle,15,2,4.9,4.904220633235477,0.8700044199167438,92.8,High,4.583,5.225,0,1,0,1,WHU (H)
64,Ollie Watkins,Aston Villa,2,4,8.7,4.777557556164437,0.8483860220212018,84.6,High,3.535,6.02,0,1,0,2,LIV (H)
178,Danny Welbeck,Brighton,6,4,6.3,3.8224731549759,0.8356766327735403,89.1,High,3.262,4.383,0,1,0,3,LEE (A)
1,David Raya Martín,Arsenal,1,1,6.2,4.32419928051328,0.9509619246404584,68.8,Medium,3.517,5.131,0,1,0,4,BUR (H)
