player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
67,Đorđe Petrović,Bournemouth,4,1,4.5,4.954263408072555,1,0,0,WOL (A)
106,Nathan Collins,Brentford,5,2,5.0,7.26236326646845,1,0,1,AVL (A)
321,Jorge Cuenca Barreno,Fulham,10,2,4.3,6.9154574374853945,1,0,0,MUN (A)
258,Tyrick Mitchell,Crystal Palace,8,2,5.0,5.575999111144821,1,0,0,NFO (A)
232,Tosin Adarabioyo,Chelsea,7,2,4.0,5.212959281943662,1,0,0,WHU (H)
328,Ryan Sessegnon,Fulham,10,3,5.4,7.138562859189189,1,0,0,MUN (A)
16,Bukayo Saka,Arsenal,1,3,10.0,6.6006074967697295,1,0,0,LEE (A)
350,Brenden Aaronson,Leeds,11,3,5.4,5.785903400837974,1,0,0,ARS (H)
88,Lewis Cook,Bournemouth,4,3,4.9,5.011246760113735,1,0,0,WOL (A)
125,Vitaly Janelt,Brentford,5,3,4.9,4.981040299289301,1,0,0,AVL (A)
136,Igor Thiago Nascimento Rodrigues,Brentford,5,4,7.2,4.3586595638161665,1,0,0,AVL (A)
