player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,start_probability,confidence_score,confidence_level,expected_points_lower_80,expected_points_upper_80,starting,bench,captain,next_fixture
341,Karl Darlow,Leeds,11,1,4.0,5.145924139535074,0.9600545517614637,59.6,Medium,2.717,7.575,1,0,0,WHU (A)
6,William Saliba,Arsenal,1,2,6.3,7.127223512580555,0.9382984792439487,96.1,High,6.92,7.335,1,0,1,CRY (A)
5,Gabriel dos Santos Magalhães,Arsenal,1,2,7.3,6.08755409774983,0.9521228641841801,93.9,High,5.667,6.508,1,0,0,CRY (A)
373,Virgil van Dijk,Liverpool,12,2,6.1,5.780338962187232,0.944156520397975,60.2,Medium,3.559,8.002,1,0,0,BRE (H)
344,Jaka Bijol,Leeds,11,2,3.9,5.566522012937693,0.9529017539131346,86.3,High,4.062,7.071,1,0,0,WHU (A)
449,Bruno Borges Fernandes,Man Utd,14,3,10.4,6.956722861680937,0.9673616747057747,89.2,High,5.872,8.041,1,0,0,BHA (A)
83,Dango Ouattara,Brentford,5,3,5.6,6.301821064172475,0.8469541272254244,85.5,High,5.155,7.449,1,0,0,LIV (A)
547,Enzo Le Fée,Sunderland,17,3,4.8,6.059612554314587,0.9476262999083366,88.0,High,4.897,7.223,1,0,0,CHE (H)
450,Matheus Santos Carneiro da Cunha,Man Utd,14,3,8.1,5.571826807667598,0.8536121851684328,90.5,High,5.055,6.088,1,0,0,BHA (A)
64,Ollie Watkins,Aston Villa,2,4,8.7,6.667370978253038,0.8754384209390922,80.5,High,4.044,9.291,1,0,0,MCI (A)
500,William Osula,Newcastle,15,4,5.5,6.411909618683663,0.8478319215400513,84.5,High,5.087,7.737,1,0,0,FUL (A)
