model,balanced_accuracy_mean,balanced_accuracy_std,mae_mean,mae_std
Histogram Gradient Boosting,1.0,0.0,1.019681500855098,0.052843740886897694
Random Forest,1.0,0.0,1.0057829981939916,0.026621848043182926
Neural Network (MLP),0.9988773892526309,0.00033594716732559583,1.0288039332282617,0.11807929849498763
